City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind
195,Dakar,SN,2022-11-23 16:03:56,14.6937,-17.4441,94.08,52,8,16.08
196,Gobabis,NA,2022-11-23 16:08:31,-22.45,18.9667,90.86,12,6,5.61
197,Solomenskoye,RU,2022-11-23 16:08:31,44.2167,44.3528,48.18,75,40,5.64
198,Banyo,CM,2022-11-23 16:08:29,6.75,11.8167,84.13,25,10,4.41
199,Bredasdorp,ZA,2022-11-23 15:59:30,-34.5322,20.0403,73.54,45,32,24.67
200,Bagdarin,RU,2022-11-23 16:08:32,54.4333,113.6,0.43,93,70,2.15
201,Drezdenko,PL,2022-11-23 16:08:33,52.8383,15.8308,39.45,96,100,4.65
202,Sitka,US,2022-11-23 16:01:09,57.0531,-135.33,40.1,95,100,6.44
203,Kasli,RU,2022-11-23 16:08:34,55.8909,60.7616,13.01,90,100,10.74
204,Seoul,KR,2022-11-23 16:05:04,37.5683,126.9778,45.84,53,66,2.84
205,Berlin,DE,2022-11-23 16:05:00,52.5244,13.4105,43.99,87,0,7.0
206,Guerrero Negro,MX,2022-11-23 16:00:51,27.9769,-114.0611,64.42,60,0,2.62
207,Klaksvik,FO,2022-11-23 16:08:35,62.2266,-6.589,47.32,87,91,33.69
208,Fortuna,US,2022-11-23 16:08:35,40.5982,-124.1573,49.98,97,100,8.05
209,Chara,RU,2022-11-23 16:08:36,56.9064,118.2631,-7.8,74,16,1.9
210,Kayasula,RU,2022-11-23 16:08:36,44.325,45.0,48.61,70,31,3.22
211,Shamgarh,IN,2022-11-23 16:04:02,24.1833,75.6333,66.72,34,33,5.97
212,Fort Morgan,US,2022-11-23 16:08:37,40.2503,-103.8,42.22,74,0,9.22
213,Mehriz,IR,2022-11-23 16:08:37,31.5917,54.4318,58.1,34,41,1.01
214,Butembo,CD,2022-11-23 16:08:38,0.15,29.2833,59.05,97,98,1.92
215,Buala,SB,2022-11-23 16:01:04,-8.145,159.5921,79.92,81,61,4.59
216,Mount Gambier,AU,2022-11-23 16:08:39,-37.8333,140.7667,48.31,90,84,4.83
217,Ambulu,ID,2022-11-23 16:08:39,-8.345,113.6058,76.78,88,100,0.65
218,Prestea,GH,2022-11-23 16:08:39,5.4327,-2.1428,81.45,72,77,4.79
219,Uramita,CO,2022-11-23 16:08:40,6.8994,-76.1742,80.74,68,87,3.65
220,Svetlogorsk,BY,2022-11-23 16:08:40,52.6333,29.7333,10.81,99,31,0.29
221,Kathu,TH,2022-11-23 16:08:41,7.9178,98.3332,80.69,99,100,12.3
222,Nuuk,GL,2022-11-23 16:08:41,64.1835,-51.7216,23.61,93,20,12.66
223,Liku,ID,2022-11-23 16:08:42,-0.7275,119.8922,76.24,91,93,2.26
224,Okhotsk,RU,2022-11-23 16:08:42,59.3833,143.3,-1.37,83,62,18.95
225,San Quintin,MX,2022-11-23 16:09:43,30.4833,-115.95,61.66,52,0,3.94
226,Mataram,ID,2022-11-23 16:09:44,-8.5833,116.1167,77.81,87,100,4.92
227,Taltal,CL,2022-11-23 16:09:44,-25.4,-70.4833,67.84,69,7,6.51
228,Mushie,CD,2022-11-23 16:09:45,-3.0167,16.9,82.06,71,36,0.78
229,Parkersburg,US,2022-11-23 16:09:45,39.2667,-81.5615,50.27,43,0,3.44
230,The Pas,CA,2022-11-23 16:09:46,53.8251,-101.2541,29.17,91,100,3.85
231,Sungairaya,ID,2022-11-23 16:07:23,0.7,108.9,79.74,79,94,3.04
232,Verkhniy Landekh,RU,2022-11-23 16:09:47,56.8389,42.5994,25.88,95,100,10.04
233,Pingliang,CN,2022-11-23 16:09:47,35.5392,106.6861,39.36,83,0,4.61
234,Houma,US,2022-11-23 16:09:48,29.5958,-90.7195,66.99,78,0,9.22
235,Ilulissat,GL,2022-11-23 16:09:48,69.2167,-51.1,19.42,93,75,8.05
236,Samarai,PG,2022-11-23 16:09:49,-10.6167,150.6667,83.59,75,5,14.56
237,Saco,US,2022-11-23 16:08:32,43.5009,-70.4428,45.45,60,20,10.36
238,Sinnamary,GF,2022-11-23 16:09:49,5.3833,-52.95,81.5,79,97,7.4
239,Sabinopolis,BR,2022-11-23 16:09:50,-18.6661,-43.0839,74.34,81,100,2.33
240,Broken Hill,AU,2022-11-23 16:09:50,-31.95,141.4333,61.45,57,2,9.86
241,Menongue,AO,2022-11-23 16:09:51,-14.6585,17.691,73.78,63,98,4.32
242,Ranfurly,NZ,2022-11-23 16:09:51,-45.1333,170.1,37.89,92,51,5.66
243,Charyshskoye,RU,2022-11-23 16:09:52,51.3978,83.5598,2.03,98,99,2.08
244,Plettenberg Bay,ZA,2022-11-23 16:09:52,-34.0527,23.3716,66.56,74,39,4.74
245,Pacific Grove,US,2022-11-23 16:09:53,36.6177,-121.9166,58.42,69,0,11.01
246,Dhidhdhoo,MV,2022-11-23 16:09:53,6.8833,73.1,81.55,70,93,11.54
247,Touros,BR,2022-11-23 16:09:54,-5.1989,-35.4608,86.27,51,32,14.23
248,Jamsa,FI,2022-11-23 16:09:54,61.8642,25.19,24.15,82,12,6.55
249,Port Hedland,AU,2022-11-23 16:09:55,-20.3167,118.5667,75.25,88,78,6.91
250,Hualmay,PE,2022-11-23 16:09:55,-11.0964,-77.6139,71.24,72,3,9.37
251,Pavlovka,RU,2022-11-23 16:09:56,52.6897,47.1405,33.57,96,100,10.18
252,Poronaysk,RU,2022-11-23 16:09:56,49.2167,143.1167,24.48,69,88,4.23
253,Kathmandu,NP,2022-11-23 16:06:56,27.7167,85.3167,55.62,82,20,2.3
254,Georgetown,MY,2022-11-23 16:06:25,5.4112,100.3354,82.33,89,20,0.0
255,Bad Segeberg,DE,2022-11-23 16:09:58,53.9333,10.3167,42.73,94,92,9.73
256,Chuy,UY,2022-11-23 16:09:58,-33.6971,-53.4616,73.92,37,26,1.21
257,Erenhot,CN,2022-11-23 16:09:59,43.6475,111.9767,35.13,44,78,14.47
258,Constitucion,CL,2022-11-23 16:09:59,-35.3333,-72.4167,71.67,54,15,18.1
259,Gamba,GA,2022-11-23 16:10:00,-2.65,10.0,81.0,77,56,7.94
260,Alihe,CN,2022-11-23 16:10:00,50.5667,123.7167,-5.91,99,5,1.16
